"","acceptedScientificName","acceptedTaxonKey","adm1","adm2","associatedReferences","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","collectionKey","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","crawlId","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","distanceFromCentroidInMeters","dynamicProperties","endDayOfYear","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","footprintSRS","footprintWKT","fullCountry","gbifID","gbifRegion","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","hostingOrganizationKey","http://unknown.org/captive_cultivated","http://unknown.org/georeferenceRemarks","http://unknown.org/language","http://unknown.org/license","http://unknown.org/modified","http://unknown.org/nick","http://unknown.org/rightsHolder","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","installationKey","institutionCode","institutionID","institutionKey","isInCluster","islandGroup","ISO2","isSequenced","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationID","locationRemarks","lon","materialEntityID","modified","month","municipality","nameAccordingTo","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismQuantity","organismQuantityType","organismRemarks","originalNameUsage","otherCatalogNumbers","ownerInstitutionCode","parentEventID","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","projectId","protocol","publishedByGbifRegion","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rightsHolder","samplingEffort","samplingProtocol","scientificName","scientificNameAuthorship","scientificNameID","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonConceptID","taxonID","taxonKey","taxonomicStatus","taxonRank","type","typeStatus","verbatimDepth","verbatimEventDate","verbatimIdentification","verbatimLocality","vernacularName","vitality","waterBody","year","downloadDate"
"1","Semibalanus balanoides (Linnaeus, 1767)",2115784,"England",NA,NA,"HUMAN_OBSERVATION",NA,"149355603","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,NA,"EUROPE",NA,420,"United Kingdom",560,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2023-02-21T21:57:49",20,NA,NA,NA,NA,NA,51,"2023-02-20T16:41:23Z",NA,NA,"16:41:23+00:00","Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","4062742581","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"apricaria",NA,"335797475",NA,NA,NA,"Sean Hartnett","149355603",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,4062742581,"Animalia",1,NA,"2025-09-22T23:56:44.581+00:00","2025-09-23T14:51:14.575+00:00","2025-09-23T14:51:14.575+00:00",53.503891,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,NA,NA,NA,-3.065073,NA,"2023-03-28T21:29:54.000+00:00",2,NA,NA,NA,"https://www.inaturalist.org/observations/149355603",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Sean Hartnett",NA,"https://www.inaturalist.org/observations/149355603","Sean Hartnett",NA,NA,"Semibalanus balanoides (Linnaeus, 1767)","(Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",51,NA,"118832",2115784,"ACCEPTED","SPECIES",NA,NA,NA,"2023-02-20 16:41:23Z",NA,"Liverpool Bay, Liverpool, England, GB",NA,NA,NA,2023,2025-09-26
"2","Semibalanus balanoides (Linnaeus, 1767)",2115784,"England",NA,NA,"HUMAN_OBSERVATION",NA,"149355624","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,NA,"EUROPE",NA,435,"United Kingdom",560,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2023-02-21T21:58:05",20,NA,NA,NA,NA,NA,51,"2023-02-20T16:42:13Z",NA,NA,"16:42:13+00:00","Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","4063102569","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"apricaria",NA,"335797521",NA,NA,NA,"Sean Hartnett","149355624",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,4063102569,"Animalia",1,NA,"2025-09-22T23:56:44.581+00:00","2025-09-23T14:51:22.067+00:00","2025-09-23T14:51:22.067+00:00",53.505579,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,NA,NA,NA,-3.063928,NA,"2023-03-28T21:29:54.000+00:00",2,NA,NA,NA,"https://www.inaturalist.org/observations/149355624",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Sean Hartnett",NA,"https://www.inaturalist.org/observations/149355624","Sean Hartnett",NA,NA,"Semibalanus balanoides (Linnaeus, 1767)","(Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",51,NA,"118832",2115784,"ACCEPTED","SPECIES",NA,NA,NA,"2023-02-20 16:42:13Z",NA,"Crosby, Liverpool, England, GB",NA,NA,NA,2023,2025-09-26
"3","Semibalanus balanoides (Linnaeus, 1767)",2115784,"England",NA,NA,"HUMAN_OBSERVATION",NA,"151915101","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,NA,"EUROPE",NA,109,"United Kingdom",560,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2023-03-22T11:19:28",22,NA,NA,NA,NA,NA,81,"2023-03-22T11:19:12Z",NA,NA,"11:19:12+00:00","Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","4075641112","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"drmaward",NA,"343262993",NA,NA,NA,"drmaward","151915101",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,4075641112,"Animalia",1,NA,"2025-09-22T23:56:44.581+00:00","2025-09-23T11:39:31.165+00:00","2025-09-23T11:39:31.165+00:00",51.212749,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-3.473825,NA,"2024-10-13T08:43:56.000+00:00",3,NA,NA,NA,"https://www.inaturalist.org/observations/151915101",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","28eb1a3f-1c15-4a95-931a-4af90ecb574d","drmaward",NA,"https://www.inaturalist.org/observations/151915101","drmaward",NA,NA,"Semibalanus balanoides (Linnaeus, 1767)","(Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",81,NA,"118832",2115784,"ACCEPTED","SPECIES",NA,NA,NA,"2023-03-22 11:19:12Z",NA,"Bristol Channel, Minehead, England, GB",NA,NA,NA,2023,2025-09-26
"4","Semibalanus balanoides (Linnaeus, 1767)",2115784,"England",NA,NA,"HUMAN_OBSERVATION",NA,"152233419","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,NA,"EUROPE",NA,6,"United Kingdom",560,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2023-03-25T12:26:44",25,NA,NA,NA,NA,NA,84,"2023-03-25T12:26:11Z",NA,NA,"12:26:11+00:00","Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","4075853395","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"fjb2021",NA,"344037328",NA,NA,NA,"Fiona Boston","152233419",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,4075853395,"Animalia",1,NA,"2025-09-22T23:56:44.581+00:00","2025-09-23T13:14:02.419+00:00","2025-09-23T13:14:02.419+00:00",51.210761,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,NA,NA,NA,-3.455478,NA,"2023-03-25T12:35:37.000+00:00",3,NA,NA,NA,"https://www.inaturalist.org/observations/152233419",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Fiona Boston",NA,"https://www.inaturalist.org/observations/152233419","Fiona Boston",NA,NA,"Semibalanus balanoides (Linnaeus, 1767)","(Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",84,NA,"118832",2115784,"ACCEPTED","SPECIES",NA,NA,NA,"2023-03-25 12:26:11Z",NA,"Seaward Way, Minehead, England, GB",NA,NA,NA,2023,2025-09-26
"5","Semibalanus balanoides (Linnaeus, 1767)",2115784,"Rushen",NA,NA,"HUMAN_OBSERVATION",NA,"164044527","Maxillopoda",203,"Isle of Man, EUROPE","Observations",NA,NA,"EUROPE",NA,NA,"Isle of Man",560,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2023-05-27T18:40:22",26,NA,NA,NA,NA,NA,146,"2023-05-26T08:28",NA,NA,"08:28:00+01:00","Archaeobalanidae",5103,NA,NA,NA,NA,"Isle of Man","4126709276","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"sahalsey",NA,"367960699",NA,NA,NA,"Sheelagh Halsey","164044527",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"IM",FALSE,4126709276,"Animalia",1,NA,"2025-09-22T23:56:44.581+00:00","2025-09-23T11:43:39.860+00:00","2025-09-23T11:43:39.860+00:00",54.088147,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,NA,NA,NA,-4.760481,NA,"2025-09-16T18:32:04.000+00:00",5,NA,NA,NA,"https://www.inaturalist.org/observations/164044527",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Sheelagh Halsey",NA,"https://www.inaturalist.org/observations/164044527","Sheelagh Halsey",NA,NA,"Semibalanus balanoides (Linnaeus, 1767)","(Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",146,NA,"118832",2115784,"ACCEPTED","SPECIES",NA,NA,NA,"2023/05/26 8:28 AM",NA,"Port Erin, Rushen, Isle of Man",NA,NA,NA,2023,2025-09-26
"6","Semibalanus balanoides (Linnaeus, 1767)",2115784,"Wales",NA,NA,"HUMAN_OBSERVATION",NA,"170718745","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,NA,"EUROPE",NA,2,"United Kingdom",560,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2023-07-02T20:35:43",16,NA,NA,NA,NA,NA,136,"2023-05-16T13:43",NA,NA,"13:43:00+01:00","Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","4145216187","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"steve_mcwilliam",NA,"381345161",NA,NA,NA,"Stephen James McWilliam","170718745",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,4145216187,"Animalia",1,NA,"2025-09-22T23:56:44.581+00:00","2025-09-23T14:57:52.986+00:00","2025-09-23T14:57:52.986+00:00",53.411488,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,NA,NA,-4.512921,NA,"2025-06-18T22:02:03.000+00:00",5,NA,NA,NA,"https://www.inaturalist.org/observations/170718745",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Stephen James McWilliam",NA,"https://www.inaturalist.org/observations/170718745","Stephen James McWilliam",NA,NA,"Semibalanus balanoides (Linnaeus, 1767)","(Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",136,NA,"118832",2115784,"ACCEPTED","SPECIES",NA,NA,NA,"2023/05/16 1:43 PM",NA,"Cemlyn Bay, Cemlyn, Anglesey, North Wales, UK",NA,NA,NA,2023,2025-09-26
"7","Semibalanus balanoides (Linnaeus, 1767)",2115784,"Wales",NA,NA,"HUMAN_OBSERVATION",NA,"180415095","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,NA,"EUROPE",NA,2,"United Kingdom",560,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2023-08-27T10:19:36",24,NA,NA,NA,NA,NA,144,"2023-05-24T10:39",NA,NA,"10:39:00+01:00","Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","4413380650","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"steve_mcwilliam",NA,"401860034",NA,NA,NA,"Stephen James McWilliam","180415095",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,4413380650,"Animalia",1,NA,"2025-09-22T23:56:44.581+00:00","2025-09-23T11:49:41.200+00:00","2025-09-23T11:49:41.200+00:00",53.27668,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,NA,NA,-4.617356,NA,"2025-06-18T22:01:42.000+00:00",5,NA,NA,NA,"https://www.inaturalist.org/observations/180415095",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Stephen James McWilliam",NA,"https://www.inaturalist.org/observations/180415095","Stephen James McWilliam",NA,NA,"Semibalanus balanoides (Linnaeus, 1767)","(Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",144,NA,"118832",2115784,"ACCEPTED","SPECIES",NA,NA,NA,"2023/05/24 10:39 AM",NA,"Trearddur Bay, Lon Isallt, Trearddur, Anglesey, North Wales, UK",NA,NA,NA,2023,2025-09-26
"8","Semibalanus balanoides (Linnaeus, 1767)",2115784,"England",NA,NA,"HUMAN_OBSERVATION",NA,"165611765","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,NA,"EUROPE",NA,NA,"United Kingdom",560,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2023-06-04T22:31:40",4,NA,NA,NA,NA,NA,155,"2023-06-04T11:29:48",NA,NA,"11:29:48+01:00","Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","4424081669","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"robsid",NA,"371064421",NA,NA,NA,"Rob Sidaway","165611765",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,4424081669,"Animalia",1,NA,"2025-09-22T23:56:44.581+00:00","2025-09-23T13:18:15.327+00:00","2025-09-23T13:18:15.327+00:00",51.203609,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-3.193837,NA,"2023-10-06T21:19:51.000+00:00",6,NA,NA,NA,"https://www.inaturalist.org/observations/165611765",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Rob Sidaway",NA,"https://www.inaturalist.org/observations/165611765","Rob Sidaway",NA,NA,"Semibalanus balanoides (Linnaeus, 1767)","(Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",155,NA,"118832",2115784,"ACCEPTED","SPECIES",NA,NA,NA,"2023-06-04 11:29:48",NA,"Lilstock, Bridgwater TA5 1SU, UK",NA,NA,NA,2023,2025-09-26
"9","Semibalanus balanoides (Linnaeus, 1767)",2115784,"Scotland",NA,NA,"HUMAN_OBSERVATION",NA,"170322053","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,NA,"EUROPE",NA,4,"United Kingdom",560,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-05-18T16:01:09",29,NA,NA,NA,NA,NA,180,"2023-06-29T10:55:28",NA,NA,"10:55:28+01:00","Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5166755413","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"spanglerwoodbirds",NA,"634071686",NA,NA,NA,"barnacool","170322053",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,5166755413,"Animalia",1,NA,"2025-09-22T23:56:44.581+00:00","2025-09-23T11:46:06.789+00:00","2025-09-23T11:46:06.789+00:00",56.535488,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-5.413638,NA,"2025-05-18T23:30:01.000+00:00",6,NA,NA,NA,"https://www.inaturalist.org/observations/170322053",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Matt Spangler",NA,"https://www.inaturalist.org/observations/170322053","Matt Spangler",NA,NA,"Semibalanus balanoides (Linnaeus, 1767)","(Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",180,NA,"118832",2115784,"ACCEPTED","SPECIES",NA,NA,NA,"2023-06-29 10:55:28+01:00",NA,"Loch Etive, Oban, Scotland, GB",NA,NA,NA,2023,2025-09-26
"10","Semibalanus balanoides (Linnaeus, 1767)",2115784,"England",NA,NA,"HUMAN_OBSERVATION",NA,"194221421","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,NA,"EUROPE",NA,182,"United Kingdom",560,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2023-12-17T20:42:03",1,NA,NA,NA,NA,NA,182,"2023-07-01T11:08",NA,NA,"11:08:00+01:00","Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","4500632071","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"an_bollenessor",NA,"435813549",NA,NA,NA,"Michiel Vos","194221421",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,4500632071,"Animalia",1,NA,"2025-09-22T23:56:44.581+00:00","2025-09-23T11:53:00.779+00:00","2025-09-23T11:53:00.779+00:00",50.16443,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-5.072819,NA,"2023-12-17T20:51:47.000+00:00",7,NA,NA,NA,"https://www.inaturalist.org/observations/194221421",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Michiel Vos",NA,"https://www.inaturalist.org/observations/194221421","Michiel Vos",NA,NA,"Semibalanus balanoides (Linnaeus, 1767)","(Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",182,NA,"118832",2115784,"ACCEPTED","SPECIES",NA,NA,NA,"2023/07/01 11:08 AM",NA,"Flushing, UK (Luce's Beach)",NA,NA,NA,2023,2025-09-26
"11","Semibalanus balanoides (Linnaeus, 1767)",2115784,"Scotland",NA,NA,"HUMAN_OBSERVATION",NA,"176131381","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,NA,"EUROPE",NA,462,"United Kingdom",560,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2023-08-01T16:48:39",1,NA,NA,NA,NA,NA,213,"2023-08-01T17:47:37",NA,NA,"17:47:37+01:00","Archaeobalanidae",5103,NA,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","4171854292","EUROPE","Semibalanus","Semibalanus",2115783,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"scribblyfloss",NA,"392479995",NA,NA,NA,"scribblyfloss","176131381",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,4171854292,"Animalia",1,NA,"2025-09-22T23:56:44.581+00:00","2025-09-23T14:59:37.152+00:00","2025-09-23T14:59:37.152+00:00",55.91351,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-5.130123,NA,"2023-08-01T20:49:44.000+00:00",8,NA,NA,NA,"https://www.inaturalist.org/observations/176131381",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","scribblyfloss",NA,"https://www.inaturalist.org/observations/176131381","scribblyfloss",NA,NA,"Semibalanus balanoides (Linnaeus, 1767)","(Linnaeus, 1767)",NA,NA,"Semibalanus balanoides",2115784,"balanoides",213,NA,"118832",2115784,"ACCEPTED","SPECIES",NA,NA,NA,"2023-08-01 17:47:37+01:00",NA,"Kyles of Bute, Colintraive, Scotland, GB",NA,NA,NA,2023,2025-09-26
